run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0_B_base_gemini_20260729T102920083204,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v0_B_base_gemini_20260729T102920083204,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v0_B_base_gemini_20260729T102920083204,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M02_carryover_timeframe,True,wrong_arg_value,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'robotics', got 'latest robotics news today'"
v0_B_base_gemini_20260729T102920083204,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_gemini_20260729T102920083204,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v0_B_base_gemini_20260729T102920083204,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_base_gemini_20260729T102920083204,v0,v0+peb1c8179815b+t6cdb53d5d7b8,base,M06_switch_tool,True,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'OpenAI', got 'OpenAI news'"
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,R03_web_news_routing,False,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'AI', got 'AI news today'"
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,R10_missing_handle,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,R11_missing_url,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,R12_confirm_before_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got None"
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,R13_parallel_web_and_tweets,False,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"query: expected 'AI', got 'AI news'"
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,M02_carryover_timeframe,True,wrong_arg_value,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'robotics', got 'robotics news today'"
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v1_B_base_gemini_20260729T103114572425,v1,v1+p990bcc2b0508+t4f300d26f4ac,base,M06_switch_tool,True,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'OpenAI', got 'OpenAI news'"
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,R03_web_news_routing,False,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'AI', got 'AI news'"
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,R10_missing_handle,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,R11_missing_url,False,missing_info,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'text', got None"
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,R12_confirm_before_send,False,wrong_boundary,wrong_arg_value,clarify,clarify,False,True,False,"response_type: expected 'yes_no', got None"
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,R13_parallel_web_and_tweets,False,wrong_tool,wrong_arg_value,lookup|social_search,lookup|social_search,False,True,False,"query: expected 'AI', got 'AI news'"
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,M02_carryover_timeframe,True,wrong_arg_value,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'robotics', got 'robotics news'"
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v2_B_base_gemini_20260729T103313482534,v2,v2+p1120383bfb5b+td13f05866526,base,M06_switch_tool,True,wrong_tool,wrong_arg_value,lookup,lookup,False,True,False,"query: expected 'OpenAI', got 'OpenAI news'"
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,R01_user_tweets_routing,False,wrong_tool,,timeline,timeline,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,R02_search_tweets_routing,False,wrong_tool,,social_search,social_search,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,R03_web_news_routing,False,wrong_tool,,lookup,lookup,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,R04_read_url_routing,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,R05_limit_arg,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,R06_timeframe_arg,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,R07_search_type_arg,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,R08_out_of_scope,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,R09_no_tool_capability,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,R10_missing_handle,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,R11_missing_url,False,missing_info,,clarify,clarify,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,R12_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,R13_parallel_web_and_tweets,False,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,R14_out_of_scope_coding,False,out_of_scope,,no_tool,,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,M01_clarify_then_fill,True,missing_info,,timeline,timeline,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,M02_carryover_timeframe,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,M03_correction_handle,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,M04_clarify_then_url,True,missing_info,,fetch,fetch,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,M05_correction_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_base_gemini_20260729T141120953518,v3,v3+p33434091d8bc+ta5932b693f09,base,M06_switch_tool,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_gemini_20260729T141242695707,v3,v3+p33434091d8bc+ta5932b693f09,group,G01_specific_url_fetch,False,wrong_tool,,fetch,fetch,True,True,True,
v3_B_group_gemini_20260729T141242695707,v3,v3+p33434091d8bc+ta5932b693f09,group,G02_month_news_limit,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_gemini_20260729T141242695707,v3,v3+p33434091d8bc+ta5932b693f09,group,G03_company_privacy_policy,False,wrong_tool,,policy,policy,True,True,True,
v3_B_group_gemini_20260729T141242695707,v3,v3+p33434091d8bc+ta5932b693f09,group,G04_source_quality_arxiv,False,wrong_tool,,source_quality,source_quality,True,True,True,
v3_B_group_gemini_20260729T141242695707,v3,v3+p33434091d8bc+ta5932b693f09,group,G05_confirm_before_send,False,wrong_boundary,,clarify,clarify,True,True,True,
v3_B_group_gemini_20260729T141242695707,v3,v3+p33434091d8bc+ta5932b693f09,group,G06_multiturn_carry_topic,True,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_gemini_20260729T141242695707,v3,v3+p33434091d8bc+ta5932b693f09,group,G07_multiturn_limit_correction,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_group_gemini_20260729T141242695707,v3,v3+p33434091d8bc+ta5932b693f09,group,G08_multiturn_social_to_web,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_gemini_20260729T141242695707,v3,v3+p33434091d8bc+ta5932b693f09,group,G09_multiturn_url_after_clarify,True,missing_info,,fetch,fetch,True,True,True,
v3_B_group_gemini_20260729T141242695707,v3,v3+p33434091d8bc+ta5932b693f09,group,G10_multiturn_cancel_meta,True,unnecessary_tool,,no_tool,,True,True,True,
